id,genre,track_name,artist_name,valence,energy;
74b9N5Kpk2nCm3coGaVycl,ambient,Time Is the Enemy,Various Artists,0.223,0.851;
3RS457XcRdIbBIuXLeWf2M,ambient,Varðeldur,Sigur Rós,0.0365,0.233;
2Qw2S6qB0QjJu0cvfSBw1W,ambient,Feel,Solar Fields,0.0323,0.247;
3MlXup5wJvcVOB0l3xVePV,ambient,Bending Time,Hecq,0.0357,0.0102;
3kxC1lTGYIoe18BrfWmPjg,ambient,Gasfarming,Stars Of The Lid,0.0321,0.00396;
6Rkr9b1ooiIgcebMRATPhD,ambient,Lesser Heaven,Brian Eno,0.0377,0.129;
4AJTLKBYZtGMmQOlIbdRHE,ambient,Inní mér syngur vitleysingur,Sigur Rós,0.616,0.857;
4MmCcWK23yzJMABFMpESq2,ambient,Something Heavens,H.U.V.A. Network,0.0454,0.161;
4Gvazg61q44ezt5LI93GNW,ambient,Universal Sunrise,Cell,0.114,0.161;
116nJvcN1RB2UF2VuIyObG,ambient,Uva-ursi,Biosphere,0.286,0.249;
7sqii6BhIDpJChYpU3WjwS,ambient,Kiara,Bonobo,0.414,0.788;
6CFNc0E6BDcB8YxeDoeRsc,ambient,L'ivresse des Profondeurs,Various Artists,0.134,0.444;
3MWToltSqef5lgDt0pO16p,ambient,Crazy For You,Various Artists,0.0334,0.778;
44XIEFcZKzCh2AoiSNUGoF,ambient,Passing Away,Hammock,0.0394,0.251;
7FYbiwCEaxSEp2iAeteqUJ,ambient,December Hunting for Vegetarian Fuckface,Stars Of The Lid,0.0336,0.0925;
6SPEz0BUmkCe0uuSRgQGaB,ambient,Alternate Universe,Aaron Marshall,0.0362,0.0832;
5Jh2I2mcYTvTse5THWSKq3,ambient,Fromme,Loscil,0.232,0.407;
454PvA7LkC77oZRwPqcdP6,ambient,Central Plain,Carbon Based Lifeforms,0.264,0.555;
4zAzF8denMQ2A21pWfP8M8,ambient,Blumenthal,Ulrich Schnauss,0.0658,0.52;
1OrIF9k3A1wMADZnr4URUB,ambient,Boa Sorte,Hôtel Costes,0.327,0.563;
5gaGARxmgIoSXmURSU95hG,ambient,Shell,Brian Eno,0.0249,0.166;
6uoM7KHsyJsHZqBQHKjQbc,ambient,Black Sands,Bonobo,0.338,0.499;
4sDBBc26qdHckqRpMM6F13,ambient,Lamp Mien,Deaf Center,0.0789,0.129;
25N6tLYS1uFJ3c5lsXV3y1,ambient,In the Fog II,Tim Hecker,0.034,0.477;
4upUGbQVqH0qlhEmCM79f1,ambient,Second Narrows,Loscil,0.146,0.215;
60INvemo2VdXUU5YOZfFTP,ambient,Somnus,Rhian Sheehan,0.0469,0.283;
0GgT9lSa3nOgHTCmjuxFPd,ambient,Nine Black Alps,Helios,0.244,0.401;
0dHHd9p8ZTIB2EW7wqWNgD,ambient,Last Known Surroundings,Explosions In The Sky,0.105,0.805;
4HkJr31bgEdCtEHpasC7Jz,ambient,Unity,Bvdub,0.0377,0.6;
2XQSgmtEY2titXhfY414dy,ambient,Roygbiv,Boards of Canada,0.118,0.521;
3md3vi2KPEjP6hk4Rs21oV,ambient,Rain Geometrics,H.U.V.A. Network,0.287,0.38;
3lUZ5NtgheTRBhIAAEoVKu,ambient,Sleepless,Marconi Union,0.0313,0.209;
6djrtIk0n1y41sRM9LOsLe,ambient,9:39,Global Communication,0.0387,0.47;
0DFkHoN7FKjLPRQ1RIOhDR,ambient,Sketch 7,Tim Hecker,0.0765,0.0188;
0BSJ1iQEmGibLCPMHGtdo7,ambient,Lost In Thought,Jon Hopkins,0.201,0.318;
5hfG9ztj7AMC4hv1z2CYXK,ambient,Warmed By the Drift,Biosphere,0.115,0.197;
4Rfp8JgdGLIwaNsYvapTzS,ambient,Aragon - 2005 Digital Remaster,Brian Eno,0.127,0.00633;
4JCQ2ZHe3vACPQo0ABVfEH,ambient,At the Mercy of the Waves,Clem Leek,0.0542,0.387;
"19i0eqVS2lrRToPje5e6Rg,ambient,""Articulate Silences, Pt. 2"",Stars Of The Lid,0.031,0.124";
3A3SNl2OsYO6As6c4VUS8y,ambient,20 minutes,Carbon Based Lifeforms,0.0738,0.181;
0zZIYr7bxWx4RMQx5k4R3G,ambient,1000 Arms,Lymbyc Systym,0.0374,0.566;
0atOMgnZQ0bkSzDacwkKwB,ambient,Phase 09 - Sombrero,Solar Fields,0.0347,0.335;
63ZyPUR8NqWgonSM6RsWp0,ambient,The Forest Awakens at Night to Reveal Another World,Fort Fairfield,0.17,0.6;
6Uv5cYYxDwVRb8PVHGdXcN,ambient,Final Sunset - 2005 Digital Remaster,Brian Eno,0.0372,0.174;
4mcDWFiTDWIPJmXytF38UQ,ambient,Death Of The Author,Jenny Hval,0.115,0.413;
2MZSXhq4XDJWu6coGoXX1V,ambient,Avril 14th,Aphex Twin,0.37,0.0259;
3LiiEqYmw53DjMIR7tYqhB,anime,dolce,Kalafina,0.0399,0.304;
4MZFjyIVg2jMciNLxSK2b3,anime,千の夜をこえて,Aqua Timez,0.492,0.783;
4ztgsfHAyWFXYSpd0OaFsT,anime,Gladius,Eir Aoi,0.143,0.986;
75yLSvVuOZYSA7eWP6ga0z,anime,レモネイドスキャンダル,秋月マキシ(CV:芹澤優),0.542,0.957;
5jgxCa3CQubw9Xbz9lE5oP,anime,王宮裁判,かと*ふく,0.389,0.864;
2dfcq93i8gRSNryrk6UFAY,anime,アルシラの星 - カラオケ,Shinji Tanimura,0.547,0.835;
1PT6s9LOrzvj1k9mSqf58z,anime,儚き季節に舞う蝶よ,Various Artists,0.655,0.944;
3L6AKNglnFazp3MwcBcVot,anime,もしも毎日がクリスマスだったら,i☆Ris,0.467,0.917;
5RsRhryZD9FdTmxsAaZ2mM,anime,crossing field,LiSA,0.314,0.983;
2tHhf6jFeMvV4mvzkXIz6j,anime,I & I,Leola,0.334,0.523;
7MIUggP4DqGNhNzEwWPMG6,anime,ナイショの話,ClariS,0.521,0.935;
5vPPuTR5DVk3sNGmzM5k8g,anime,moonfesta~ムーンフェスタ~,Kalafina,0.391,0.644;
0GR87Jq8lnwhQeEFLqXLeJ,anime,Believe,Nami Tamaki,0.39,0.973;
